"TRAN DATE","paySlip","CHQ NO","amount"
"03/05/2018",5333,110818,8602
"03/05/2018",5333,309207,6818
"03/05/2018",5333,342156,22238
"03/05/2018",5333,575577,1773
"03/05/2018",5333,609410,5000
"03/05/2018",5333,625395,10030
"03/05/2018",5333,718355,34196
"03/05/2018",5333,780313,3420
"03/05/2018",5333,840979,38110
"03/05/2018",5334,877503,5849
"03/05/2018",5334,415,1221
"03/05/2018",5334,7982,6100
"03/05/2018",5334,35710,7602
"03/05/2018",5334,59751,27328
"03/05/2018",5334,59752,26667
"03/05/2018",5334,170376,16781
"03/05/2018",5334,421164,7347
"03/05/2018",5334,421165,33776
"03/05/2018",5334,490286,18682
"03/05/2018",5334,563651,3006
"03/05/2018",5334,705421,7842
"03/05/2018",5334,843585,6295
"03/05/2018",5335,4033330,3205
"03/05/2018",5335,4848,4329
"03/05/2018",5335,7805,6089
"03/05/2018",5335,42885,3564
"03/05/2018",5335,63590,20437
"03/05/2018",5335,71574,10874
"03/05/2018",5335,71575,12010
"03/05/2018",5335,253605,6436
"03/05/2018",5335,455324,25482
"03/05/2018",5335,495979,33628
"03/05/2018",5335,660010,7507
"03/05/2018",5335,772476,829
"03/05/2018",5335,913484,5191
"03/05/2018",5336,951235,2252
"03/05/2018",5336,19859,11706
"03/05/2018",5336,57232,16893
"03/05/2018",5336,57233,19235
"03/05/2018",5336,68885,29619
"03/05/2018",5336,114622,2637
"03/05/2018",5336,207535,1678
"03/05/2018",5336,239876,11812
"03/05/2018",5336,534950,1607
"03/05/2018",5336,611797,11902
"03/05/2018",5336,663833,11706
"03/05/2018",5336,768475,18951
"03/05/2018",5336,792197,28844
"03/05/2018",5398,792199,3062
"03/08/2018",5441,0,2584169
"03/10/2018",5331,0,3438930
"03/05/2018",5375,13331,3660
"03/07/2018",5464,174007,16672
"03/12/2018",5349,0,2923500
"03/06/2018",5349,281313,2422
"03/06/2018",5349,3923,12555
"03/06/2018",5343,209717,165527
"03/06/2018",5344,841689,8809
"03/06/2018",5344,292874,1425
"03/06/2018",5344,754867,2910
"03/06/2018",5344,14377,3871
"03/06/2018",5344,337073,5401
"03/06/2018",5344,518089,6380
"03/06/2018",5344,708574,8691
"03/06/2018",5344,325269,9581
"03/06/2018",5344,271289,15132
"03/06/2018",5344,140402,15719
"03/06/2018",5344,32001,24120
"03/06/2018",5344,14375,42022
"03/06/2018",5345,14376,54607
"03/06/2018",5345,813806,588
"03/06/2018",5345,16,1181
"03/06/2018",5345,397452,3598
"03/06/2018",5345,1646,3641
"03/06/2018",5345,813805,4176
"03/06/2018",5345,841690,4237
"03/06/2018",5345,486003,5034
"03/06/2018",5345,682581,5516
"03/06/2018",5345,609930,6405
"03/06/2018",5345,974702,10335
"03/06/2018",5345,974703,15429
"03/06/2018",5345,14,23683
"03/06/2018",5346,2913,30700
"03/06/2018",5346,195923,2521
"03/06/2018",5346,322442,3700
"03/06/2018",5346,134646,6296
"03/06/2018",5346,299283,6708
"03/06/2018",5346,813804,8491
"03/06/2018",5346,538343,11587
"03/06/2018",5346,658281,11950
"03/06/2018",5346,1,12271
"03/06/2018",5346,552597,16000
"03/06/2018",5346,966703,24020
"03/06/2018",5346,966702,36030
"03/06/2018",5347,65128,38673
"03/06/2018",5347,137600,5516
"03/06/2018",5347,52612,7047
"03/06/2018",5347,951976,8031
"03/06/2018",5347,520573,9794
"03/06/2018",5347,727589,10279
"03/06/2018",5347,932259,11160
"03/06/2018",5347,839055,14345
"03/06/2018",5347,778828,20567
"03/06/2018",5347,966706,29017
"03/06/2018",5347,2,30000
"03/06/2018",5348,966704,30200
"03/06/2018",5348,950616,2200
"03/06/2018",5348,67880,3967
"03/06/2018",5348,143725,4395
"03/06/2018",5348,937061,8901
"03/06/2018",5348,111035,9307
"03/06/2018",5348,625964,18819
"03/06/2018",5350,950615,39831
"03/06/2018",5350,18,3603
"03/06/2018",5350,156138,5000
"03/06/2018",5350,58162,5021
"03/06/2018",5350,437980,10539
"03/06/2018",5350,108,12899
"03/06/2018",5350,765415,13655
"03/06/2018",5350,9197,13967
"03/06/2018",5350,950447,19310
"03/06/2018",5350,28009,24095
"03/06/2018",5350,319509,27773
"03/06/2018",5350,20497,31534
"03/06/2018",5350,20496,41511
"03/06/2018",5351,943803,56114
"03/06/2018",5351,436019,3290
"03/06/2018",5351,128828,4022
"03/06/2018",5351,876032,5101
"03/06/2018",5351,73519,6607
"03/06/2018",5351,514432,7738
"03/06/2018",5351,917569,8451
"03/06/2018",5351,514430,13228
"03/06/2018",5351,619727,16614
"03/06/2018",5351,484524,16995
"03/06/2018",5351,71159,23803
"03/06/2018",5351,75320,27465
"03/06/2018",5352,73520,34702
"03/06/2018",5352,258978,2338
"03/06/2018",5352,357858,2712
"03/06/2018",5352,3256679,5187
"03/06/2018",5352,18,6160
"03/06/2018",5352,242893,8874
"03/06/2018",5352,29762,9625
"03/06/2018",5352,16273,12253
"03/06/2018",5352,537269,28191
"03/06/2018",5352,247106,29893
"03/06/2018",5352,9223,40809
"03/06/2018",5352,47087,41915
"03/06/2018",5353,623079,44867
"03/06/2018",5353,1675,2655
"03/06/2018",5353,205773,3884
"03/06/2018",5353,64254,4792
"03/06/2018",5353,758180,6065
"03/06/2018",5353,301178,11362
"03/06/2018",5353,866139,11421
"03/06/2018",5353,664432,14802
"03/06/2018",5353,28,17979
"03/06/2018",5353,4,19693
"03/06/2018",5353,212064,20765
"03/06/2018",5353,36760,21703
"03/06/2018",5353,367599,21751
"03/06/2018",5354,758550,47065
"03/06/2018",5354,46223,2316
"03/06/2018",5354,46224,2916
"03/06/2018",5354,46222,2925
"03/06/2018",5354,14563,3140
"03/06/2018",5354,46221,4405
"03/06/2018",5354,7164,6164
"03/06/2018",5354,92881,7474
"03/06/2018",5354,132802,8415
"03/06/2018",5354,353983,10879
"03/06/2018",5354,441747,14781
"03/06/2018",5355,260226,24215
"03/06/2018",5376,55128,12111
"03/07/2018",5376,907440,1619
"03/07/2018",5376,695855,3792
"03/07/2018",5376,926495,6581
"03/07/2018",5376,12358,9869
"03/07/2018",5376,890160,13707
"03/07/2018",5376,397525,18200
"03/07/2018",5376,191002,21050
"03/07/2018",5376,980370,24508
"03/07/2018",5376,391179,24522
"03/07/2018",5376,188010,33578
"03/07/2018",5376,477180,34546
"03/07/2018",5376,427658,47548
"03/07/2018",5377,244218,52820
"03/07/2018",5377,14777,2329
"03/07/2018",5377,345056,4521
"03/07/2018",5378,245866,8521
"03/07/2018",5378,536773,1048
"03/07/2018",5378,971638,3136
"03/07/2018",5378,658764,4534
"03/07/2018",5378,393205,6961
"03/07/2018",5378,132291,9784
"03/07/2018",5378,8231,13021
"03/07/2018",5378,422298,14046
"03/07/2018",5378,204244,15934
"03/07/2018",5378,37026,18784
"03/07/2018",5378,901458,20790
"03/07/2018",5378,783828,21723
"03/07/2018",5378,865625,27027
"03/07/2018",5379,823556,28331
"03/07/2018",5379,921584,826
"03/07/2018",5379,422299,2502
"03/07/2018",5379,385919,4040
"03/07/2018",5379,671923,6106
"03/07/2018",5379,385920,7357
"03/07/2018",5379,423917,11702
"03/07/2018",5379,219024,12130
"03/07/2018",5379,32270,12993
"03/07/2018",5379,1582,13202
"03/07/2018",5379,413181,13689
"03/07/2018",5379,671922,14826
"03/07/2018",5379,996747,20438
"03/07/2018",5380,29412,64912
"03/07/2018",5380,28,449
"03/07/2018",5380,52,4264
"03/07/2018",5380,52483,15000
"03/07/2018",5380,862239,26088
"03/07/2018",5381,30312,75643
"03/07/2018",5381,121361,921
"03/07/2018",5381,11518,3524
"03/07/2018",5381,369153,6182
"03/07/2018",5381,42769,7966
"03/07/2018",5381,898869,9307
"03/07/2018",5381,756830,9958
"03/07/2018",5381,8,10782
"03/07/2018",5381,876671,12206
"03/07/2018",5381,707549,12418
"03/07/2018",5381,923991,13137
"03/07/2018",5381,728,13789
"03/07/2018",5381,212397,18097
"03/07/2018",5382,693464,19082
"03/07/2018",5382,103924,1271
"03/07/2018",5382,103925,1271
"03/07/2018",5382,770478,2725
"03/07/2018",5382,788650,3267
"03/07/2018",5382,103926,3361
"03/07/2018",5382,135336,6305
"03/07/2018",5382,44096,8567
"03/07/2018",5382,4965468,9347
"03/07/2018",5382,145394,13111
"03/07/2018",5382,748,39838
"03/07/2018",5382,42890,81974
"03/07/2018",5383,22463,97552
"03/07/2018",5383,48751,766
"03/07/2018",5383,13406,4627
"03/07/2018",5383,259676,5000
"03/07/2018",5383,499952,5000
"03/07/2018",5383,561711,7461
"03/07/2018",5383,582355,9175
"03/07/2018",5383,22,9775
"03/07/2018",5383,541105,11179
"03/07/2018",5383,959075,17225
"03/07/2018",5383,259675,19390
"03/07/2018",5383,933668,20444
"03/07/2018",5383,756572,26406
"03/07/2018",5390,6,46091
"03/08/2018",5390,33072,4447
"03/08/2018",5390,234593,10665
"03/08/2018",5390,601446,13129
"03/08/2018",5390,22735,16535
"03/08/2018",5390,994821,18512
"03/08/2018",5390,517060,27371
"03/08/2018",5391,262668,30316
"03/08/2018",5391,34674,971
"03/08/2018",5391,963276,1197
"03/08/2018",5391,121698,4141
"03/08/2018",5391,38585,8400
"03/08/2018",5391,72,11475
"03/08/2018",5391,284781,12340
"03/08/2018",5391,609322,13324
"03/08/2018",5391,197929,15668
"03/08/2018",5391,736669,19051
"03/08/2018",5391,499664,26530
"03/08/2018",5392,357822,44023
"03/08/2018",5392,443847,5487
"03/08/2018",5392,197928,5946
"03/08/2018",5392,806983,6005
"03/08/2018",5392,361724,6065
"03/08/2018",5392,99047,7679
"03/08/2018",5392,28955,11026
"03/08/2018",5392,835731,14982
"03/08/2018",5392,180113,24749
"03/08/2018",5393,105889,26423
"03/08/2018",5393,849204,1516
"03/08/2018",5393,99048,2560
"03/08/2018",5394,931391,4987
"03/08/2018",5395,27,3428
"03/08/2018",5395,135833,500
"03/08/2018",5395,90045,803
"03/08/2018",5395,409662,3468
"03/08/2018",5395,17942,6511
"03/08/2018",5395,8086,11902
"03/08/2018",5395,190258,12457
"03/08/2018",5395,857890,12717
"03/08/2018",5395,24,13580
"03/08/2018",5395,25,14152
"03/08/2018",5395,714726,16672
"03/08/2018",5395,377070,19216
"03/08/2018",5395,409663,35578
"03/08/2018",5396,7808,42754
"03/08/2018",5396,714727,1244
"03/08/2018",5396,40267,1571
"03/08/2018",5396,4667,2545
"03/08/2018",5396,914918,6035
"03/08/2018",5396,7034,6125
"03/08/2018",5396,38837,6664
"03/08/2018",5396,27226,8019
"03/08/2018",5396,17708,8439
"03/08/2018",5396,42176,10375
"03/08/2018",5396,291729,29764
"03/08/2018",5396,357821,30501
"03/08/2018",5396,659067,35431
"03/08/2018",5397,12583,104019
"03/08/2018",5397,61,1454
"03/08/2018",5397,62,3109
"03/08/2018",5397,357388,3300
"03/08/2018",5397,901385,5974
"03/08/2018",5397,872877,6215
"03/08/2018",5397,872876,6371
"03/08/2018",5397,104880,10757
"03/08/2018",5397,259782,12625
"03/08/2018",5397,5,13679
"03/08/2018",5397,901386,14237
"03/08/2018",5488,451817,18891
"13/03/2018",5417,0,2783806
"03/09/2018",5417,105729,842
"03/09/2018",5417,35285,1646
"03/09/2018",5417,102419,2450
"03/09/2018",5417,895576,15248
"03/09/2018",5417,43887,21997
"03/09/2018",5417,18922,26552
"03/09/2018",5417,327703,27081
"03/09/2018",5418,895575,39816
"03/09/2018",5418,82303,3424
"03/09/2018",5418,4847,5450
"03/09/2018",5418,303764,5984
"03/09/2018",5418,638300,6371
"03/09/2018",5418,965155,6674
"03/09/2018",5418,386310,7979
"03/09/2018",5418,638299,13362
"03/09/2018",5418,11,14070
"03/09/2018",5418,5,20505
"03/09/2018",5418,277381,21418
"03/09/2018",5418,973255,24020
"03/09/2018",5418,608385,48941
"03/09/2018",5419,625788,509000
"03/09/2018",5419,779081,459
"03/09/2018",5419,185064,1605
"03/09/2018",5419,28488,2024
"03/09/2018",5419,28487,3277
"03/09/2018",5419,536043,7322
"03/09/2018",5419,533555,8806
"03/09/2018",5419,29,16925
"03/09/2018",5419,6215,36552
"03/09/2018",5419,5247,55995
"03/09/2018",5420,13535,57623
"03/09/2018",5420,771543,2406
"03/09/2018",5420,39609,5302
"03/09/2018",5420,580292,6682
"03/09/2018",5420,74196,7188
"03/09/2018",5420,502646,9050
"03/09/2018",5420,38608,10984
"03/09/2018",5420,768166,19875
"03/09/2018",5420,693011,21512
"03/09/2018",5420,216326,24660
"03/09/2018",5420,693012,28372
"03/09/2018",5420,39608,31449
"03/09/2018",5421,331557,41933
"03/09/2018",5421,401409,1650
"03/09/2018",5421,306805,6269
"03/09/2018",5421,401410,9960
"03/09/2018",5421,771541,12381
"03/09/2018",5421,771542,13409
"03/09/2018",5421,798684,18614
"03/09/2018",5421,618879,19987
"03/09/2018",5421,176966,31243
"03/09/2018",5421,401412,42906
"03/09/2018",5421,176967,46640
"03/09/2018",5421,383647,53894
"03/09/2018",5422,637,80374
"03/09/2018",5422,857759,1377
"03/09/2018",5422,474339,1431
"03/09/2018",5422,775972,3200
"03/09/2018",5422,899824,6500
"03/09/2018",5422,58811,7049
"03/09/2018",5422,65386,9187
"03/09/2018",5422,806434,9800
"03/09/2018",5422,806433,9810
"03/09/2018",5422,44743,10487
"03/09/2018",5422,845466,11592
"03/09/2018",5422,833315,12900
"03/09/2018",5422,846101,13117
"03/09/2018",5423,863329,132022
"03/09/2018",5423,44742,2256
"03/09/2018",5423,58810,2267
"03/09/2018",5440,83855,45087
"03/10/2018",5440,883908,1779
"03/10/2018",5440,8821,4910
"03/10/2018",5440,355884,5509
"03/10/2018",5440,502907,7000
"03/10/2018",5440,340938,8629
"03/10/2018",5440,10115,9706
"03/10/2018",5440,495365,12010
"03/10/2018",5440,672413,12010
"03/10/2018",5447,478400,26404
"03/12/2018",5447,593762,4325
"03/12/2018",5447,495663,4804
"03/12/2018",5447,159814,6460
"03/12/2018",5447,58663,10147
"03/12/2018",5447,860732,11744
"03/12/2018",5449,744126,12010
"03/12/2018",5449,1318,1686
"03/12/2018",5449,295797,2258
"03/12/2018",5449,53056,2749
"03/12/2018",5449,602233,4661
"03/12/2018",5449,8883,6850
"03/12/2018",5449,1,6901
"03/12/2018",5449,182345,7638
"03/12/2018",5449,532841,8057
"03/12/2018",5449,388601,8808
"03/12/2018",5449,312,10927
"03/12/2018",5449,127905,12867
"03/12/2018",5449,532840,18094
"03/12/2018",5450,636306,32783
"03/12/2018",5450,335240,1684
"03/12/2018",5450,5,3175
"03/12/2018",5450,986862,3190
"03/12/2018",5450,165122,4704
"03/12/2018",5450,4,6326
"03/12/2018",5450,62994,8500
"03/12/2018",5450,108833,13584
"03/12/2018",5450,75547,14715
"03/12/2018",5450,159056,15165
"03/12/2018",5450,948141,15365
"03/12/2018",5450,622262,25908
"03/12/2018",5450,188523,33041
"03/12/2018",5451,8,38632
"03/12/2018",5451,6,13215
"03/12/2018",5451,52932,18163
