CPNC AS ON -02-2017,,,,,
TRAN DATE,Pay in slip,CHQ NO,amount,,
,,Total,26446204.24,0.00,47663096.00
,,,,,
03/05/2018,5334,35710,,03/09/2018,7602.00
03/05/2018,5334,59751,,03/09/2018,27328.00
03/05/2018,5334,59752,,03/09/2018,26667.00
03/05/2018,5334,170376,,03/09/2018,16781.00
03/05/2018,5334,421164,,03/09/2018,7347.00
03/05/2018,5334,421165,,03/09/2018,33776.00
03/05/2018,5334,490286,,03/09/2018,18682.00
03/05/2018,5334,563651,,03/09/2018,3006.00
03/05/2018,5334,705421,,03/09/2018,7842.00
03/05/2018,5334,843585,,03/09/2018,6295.00
03/05/2018,5334,4033330,,03/09/2018,3205.00
03/05/2018,5335,4848,,03/09/2018,4329.00
03/05/2018,5335,7805,,03/09/2018,6089.00
03/05/2018,5335,42885,,03/09/2018,3564.00
03/05/2018,5335,63590,,03/09/2018,20437.00
03/05/2018,5335,71574,,03/09/2018,10874.00
03/05/2018,5335,71575,,03/09/2018,12010.00
03/05/2018,5335,253605,,03/09/2018,6436.00
03/05/2018,5335,455324,,03/09/2018,25482.00
03/05/2018,5335,495979,,03/09/2018,33628.00
03/05/2018,5335,660010,,03/09/2018,7507.00
03/05/2018,5335,772476,,03/09/2018,829.00
03/05/2018,5335,913484,,03/09/2018,5191.00
03/05/2018,5335,951235,,03/09/2018,2252.00
03/05/2018,5336,19859,,03/09/2018,11706.00
03/05/2018,5336,57232,,03/09/2018,16893.00
03/05/2018,5336,57233,,03/09/2018,19235.00
03/05/2018,5336,68885,,03/09/2018,29619.00
03/05/2018,5336,114622,,03/09/2018,2637.00
03/05/2018,5336,207535,,03/09/2018,1678.00
03/05/2018,5336,239876,,03/09/2018,11812.00
03/05/2018,5336,534950,,03/09/2018,1607.00
03/05/2018,5336,611797,,03/09/2018,11902.00
03/05/2018,5336,663833,,03/09/2018,11706.00
03/05/2018,5336,768475,,03/09/2018,18951.00
03/05/2018,5336,792197,,03/09/2018,28844.00
03/05/2018,5336,792199,,03/09/2018,3062.00
03/08/2018,5398,cash,,03/09/2018,2584169.00
03/10/2018,5441,cash,,13/03/2018,3438930.00
03/05/2018,5331,13331,,13-03-2018,3660.00
03/07/2018,5375,174007,,13-03-2018,16672.00
03/12/2018,5464,cash,,13-03-2018,2923500.00
03/06/2018,5349,281313,,13-03-2018,2422.00
03/06/2018,5349,3923,,13-03-2018,12555.00
03/06/2018,5349,209717,,13-03-2018,165527.00
03/06/2018,5343,841689,,14-03-2018,8809.00
03/06/2018,5344,292874,,14-03-2018,1425.00
03/06/2018,5344,754867,,14-03-2018,2910.00
03/06/2018,5344,14377,,14-03-2018,3871.00
03/06/2018,5344,337073,,14-03-2018,5401.00
03/06/2018,5344,518089,,14-03-2018,6380.00
03/06/2018,5344,708574,,14-03-2018,8691.00
03/06/2018,5344,325269,,14-03-2018,9581.00
03/06/2018,5344,271289,,14-03-2018,15132.00
03/06/2018,5344,140402,,14-03-2018,15719.00
03/06/2018,5344,32001,,14-03-2018,24120.00
03/06/2018,5344,14375,,14-03-2018,42022.00
03/06/2018,5344,14376,,14-03-2018,54607.00
03/06/2018,5345,813806,,14-03-2018,588.00
03/06/2018,5345,16,,14-03-2018,1181.00
03/06/2018,5345,397452,,14-03-2018,3598.00
03/06/2018,5345,1646,,14-03-2018,3641.00
03/06/2018,5345,813805,,14-03-2018,4176.00
03/06/2018,5345,841690,,14-03-2018,4237.00
03/06/2018,5345,486003,,14-03-2018,5034.00
03/06/2018,5345,682581,,14-03-2018,5516.00
03/06/2018,5345,609930,,14-03-2018,6405.00
03/06/2018,5345,974702,,14-03-2018,10335.00
03/06/2018,5345,974703,,14-03-2018,15429.00
03/06/2018,5345,14,,14-03-2018,23683.00
03/06/2018,5345,2913,,14-03-2018,30700.00
03/06/2018,5346,195923,,14-03-2018,2521.00
03/06/2018,5346,322442,,14-03-2018,3700.00
03/06/2018,5346,134646,,14-03-2018,6296.00
03/06/2018,5346,299283,,14-03-2018,6708.00
03/06/2018,5346,813804,,14-03-2018,8491.00
03/06/2018,5346,538343,,14-03-2018,11587.00
03/06/2018,5346,658281,,14-03-2018,11950.00
03/06/2018,5346,1,,14-03-2018,12271.00
03/06/2018,5346,552597,,14-03-2018,16000.00
03/06/2018,5346,966703,,14-03-2018,24020.00
03/06/2018,5346,966702,,14-03-2018,36030.00
03/06/2018,5346,65128,,14-03-2018,38673.00
03/06/2018,5347,137600,,14-03-2018,5516.00
03/06/2018,5347,52612,,14-03-2018,7047.00
03/06/2018,5347,951976,,14-03-2018,8031.00
03/06/2018,5347,520573,,14-03-2018,9794.00
03/06/2018,5347,727589,,14-03-2018,10279.00
03/06/2018,5347,932259,,14-03-2018,11160.00
03/06/2018,5347,839055,,14-03-2018,14345.00
03/06/2018,5347,778828,,14-03-2018,20567.00
03/06/2018,5347,966706,,14-03-2018,29017.00
03/06/2018,5347,2,,14-03-2018,30000.00
03/06/2018,5347,966704,,14-03-2018,30200.00
03/06/2018,5348,950616,,14-03-2018,2200.00
03/06/2018,5348,67880,,14-03-2018,3967.00
03/06/2018,5348,143725,,14-03-2018,4395.00
03/06/2018,5348,937061,,14-03-2018,8901.00
03/06/2018,5348,111035,,14-03-2018,9307.00
03/06/2018,5348,625964,,14-03-2018,18819.00
03/06/2018,5348,950615,,14-03-2018,39831.00
03/06/2018,5350,18,,14-03-2018,3603.00
03/06/2018,5350,156138,,14-03-2018,5000.00
03/06/2018,5350,58162,,14-03-2018,5021.00
03/06/2018,5350,437980,,14-03-2018,10539.00
03/06/2018,5350,108,,14-03-2018,12899.00
03/06/2018,5350,765415,,14-03-2018,13655.00
03/06/2018,5350,9197,,14-03-2018,13967.00
03/06/2018,5350,950447,,14-03-2018,19310.00
03/06/2018,5350,28009,,14-03-2018,24095.00
03/06/2018,5350,319509,,14-03-2018,27773.00
03/06/2018,5350,20497,,14-03-2018,31534.00
03/06/2018,5350,20496,,14-03-2018,41511.00
03/06/2018,5350,943803,,14-03-2018,56114.00
03/06/2018,5351,436019,,14-03-2018,3290.00
03/06/2018,5351,128828,,14-03-2018,4022.00
03/06/2018,5351,876032,,14-03-2018,5101.00
03/06/2018,5351,73519,,14-03-2018,6607.00
03/06/2018,5351,514432,,14-03-2018,7738.00
03/06/2018,5351,917569,,14-03-2018,8451.00
03/06/2018,5351,514430,,14-03-2018,13228.00
03/06/2018,5351,619727,,14-03-2018,16614.00
03/06/2018,5351,484524,,14-03-2018,16995.00
03/06/2018,5351,71159,,14-03-2018,23803.00
03/06/2018,5351,75320,,14-03-2018,27465.00
03/06/2018,5351,73520,,14-03-2018,34702.00
03/06/2018,5352,258978,,14-03-2018,2338.00
03/06/2018,5352,357858,,14-03-2018,2712.00
03/06/2018,5352,3256679,,14-03-2018,5187.00
03/06/2018,5352,18,,14-03-2018,6160.00
03/06/2018,5352,242893,,14-03-2018,8874.00
03/06/2018,5352,29762,,14-03-2018,9625.00
03/06/2018,5352,16273,,14-03-2018,12253.00
03/06/2018,5352,537269,,14-03-2018,28191.00
03/06/2018,5352,247106,,14-03-2018,29893.00
03/06/2018,5352,9223,,14-03-2018,40809.00
03/06/2018,5352,47087,,14-03-2018,41915.00
03/06/2018,5352,623079,,14-03-2018,44867.00
03/06/2018,5353,1675,,14-03-2018,2655.00
03/06/2018,5353,205773,,14-03-2018,3884.00
03/06/2018,5353,64254,,14-03-2018,4792.00
03/06/2018,5353,758180,,14-03-2018,6065.00
03/06/2018,5353,301178,,14-03-2018,11362.00
03/06/2018,5353,866139,,14-03-2018,11421.00
03/06/2018,5353,664432,,14-03-2018,14802.00
03/06/2018,5353,28,,14-03-2018,17979.00
03/06/2018,5353,4,,14-03-2018,19693.00
03/06/2018,5353,212064,,14-03-2018,20765.00
03/06/2018,5353,36760,,14-03-2018,21703.00
03/06/2018,5353,367599,,14-03-2018,21751.00
03/06/2018,5353,758550,,14-03-2018,47065.00
03/06/2018,5354,46223,,14-03-2018,2316.00
03/06/2018,5354,46224,,14-03-2018,2916.00
03/06/2018,5354,46222,,14-03-2018,2925.00
03/06/2018,5354,14563,,14-03-2018,3140.00
03/06/2018,5354,46221,,14-03-2018,4405.00
03/06/2018,5354,7164,,14-03-2018,6164.00
03/06/2018,5354,92881,,14-03-2018,7474.00
03/06/2018,5354,132802,,14-03-2018,8415.00
03/06/2018,5354,353983,,14-03-2018,10879.00
03/06/2018,5354,441747,,14-03-2018,14781.00
03/06/2018,5354,260226,,14-03-2018,24215.00
03/06/2018,5355,55128,,14-03-2018,12111.00
03/07/2018,5376,907440,,14-03-2018,1619.00
03/07/2018,5376,695855,,14-03-2018,3792.00
03/07/2018,5376,926495,,14-03-2018,6581.00
03/07/2018,5376,12358,,14-03-2018,9869.00
03/07/2018,5376,890160,,14-03-2018,13707.00
03/07/2018,5376,397525,,14-03-2018,18200.00
03/07/2018,5376,191002,,14-03-2018,21050.00
03/07/2018,5376,980370,,14-03-2018,24508.00
03/07/2018,5376,391179,,14-03-2018,24522.00
03/07/2018,5376,188010,,14-03-2018,33578.00
03/07/2018,5376,477180,,14-03-2018,34546.00
03/07/2018,5376,427658,,14-03-2018,47548.00
03/07/2018,5376,244218,,14-03-2018,52820.00
03/07/2018,5377,14777,,14-03-2018,2329.00
03/07/2018,5377,345056,,14-03-2018,4521.00
03/07/2018,5377,245866,,14-03-2018,8521.00
03/07/2018,5378,536773,,14-03-2018,1048.00
03/07/2018,5378,971638,,14-03-2018,3136.00
03/07/2018,5378,658764,,14-03-2018,4534.00
03/07/2018,5378,393205,,14-03-2018,6961.00
03/07/2018,5378,132291,,14-03-2018,9784.00
03/07/2018,5378,8231,,14-03-2018,13021.00
03/07/2018,5378,422298,,14-03-2018,14046.00
03/07/2018,5378,204244,,14-03-2018,15934.00
03/07/2018,5378,37026,,14-03-2018,18784.00
03/07/2018,5378,901458,,14-03-2018,20790.00
03/07/2018,5378,783828,,14-03-2018,21723.00
03/07/2018,5378,865625,,14-03-2018,27027.00
03/07/2018,5378,823556,,14-03-2018,28331.00
03/07/2018,5379,921584,,14-03-2018,826.00
03/07/2018,5379,422299,,14-03-2018,2502.00
03/07/2018,5379,385919,,14-03-2018,4040.00
03/07/2018,5379,671923,,14-03-2018,6106.00
03/07/2018,5379,385920,,14-03-2018,7357.00
03/07/2018,5379,423917,,14-03-2018,11702.00
03/07/2018,5379,219024,,14-03-2018,12130.00
03/07/2018,5379,32270,,14-03-2018,12993.00
03/07/2018,5379,1582,,14-03-2018,13202.00
03/07/2018,5379,413181,,14-03-2018,13689.00
03/07/2018,5379,671922,,14-03-2018,14826.00
03/07/2018,5379,996747,,14-03-2018,20438.00
03/07/2018,5379,29412,,14-03-2018,64912.00
03/07/2018,5380,28,,14-03-2018,449.00
03/07/2018,5380,52,,14-03-2018,4264.00
03/07/2018,5380,52483,,14-03-2018,15000.00
03/07/2018,5380,862239,,14-03-2018,26088.00
03/07/2018,5380,30312,,14-03-2018,75643.00
03/07/2018,5381,121361,,14-03-2018,921.00
03/07/2018,5381,11518,,14-03-2018,3524.00
03/07/2018,5381,369153,,14-03-2018,6182.00
03/07/2018,5381,42769,,14-03-2018,7966.00
03/07/2018,5381,898869,,14-03-2018,9307.00
03/07/2018,5381,756830,,14-03-2018,9958.00
03/07/2018,5381,8,,14-03-2018,10782.00
03/07/2018,5381,876671,,14-03-2018,12206.00
03/07/2018,5381,707549,,14-03-2018,12418.00
03/07/2018,5381,923991,,14-03-2018,13137.00
03/07/2018,5381,728,,14-03-2018,13789.00
03/07/2018,5381,212397,,14-03-2018,18097.00
03/07/2018,5381,693464,,14-03-2018,19082.00
03/07/2018,5382,103924,,14-03-2018,1271.00
03/07/2018,5382,103925,,14-03-2018,1271.00
03/07/2018,5382,770478,,14-03-2018,2725.00
03/07/2018,5382,788650,,14-03-2018,3267.00
03/07/2018,5382,103926,,14-03-2018,3361.00
03/07/2018,5382,135336,,14-03-2018,6305.00
03/07/2018,5382,44096,,14-03-2018,8567.00
03/07/2018,5382,4965468,,14-03-2018,9347.00
03/07/2018,5382,145394,,14-03-2018,13111.00
03/07/2018,5382,748,,14-03-2018,39838.00
03/07/2018,5382,42890,,14-03-2018,81974.00
03/07/2018,5382,22463,,14-03-2018,97552.00
03/07/2018,5383,48751,,14-03-2018,766.00
03/07/2018,5383,13406,,14-03-2018,4627.00
03/07/2018,5383,259676,,14-03-2018,5000.00
03/07/2018,5383,499952,,14-03-2018,5000.00
03/07/2018,5383,561711,,14-03-2018,7461.00
03/07/2018,5383,582355,,14-03-2018,9175.00
03/07/2018,5383,22,,14-03-2018,9775.00
03/07/2018,5383,541105,,14-03-2018,11179.00
03/07/2018,5383,959075,,14-03-2018,17225.00
03/07/2018,5383,259675,,14-03-2018,19390.00
03/07/2018,5383,933668,,14-03-2018,20444.00
03/07/2018,5383,756572,,14-03-2018,26406.00
03/07/2018,5383,6,,14-03-2018,46091.00
03/08/2018,5390,33072,,14-03-2018,4447.00
03/08/2018,5390,234593,,14-03-2018,10665.00
03/08/2018,5390,601446,,14-03-2018,13129.00
03/08/2018,5390,22735,,14-03-2018,16535.00
03/08/2018,5390,994821,,14-03-2018,18512.00
03/08/2018,5390,517060,,14-03-2018,27371.00
03/08/2018,5390,262668,,14-03-2018,30316.00
03/08/2018,5391,34674,,14-03-2018,971.00
03/08/2018,5391,963276,,14-03-2018,1197.00
03/08/2018,5391,121698,,14-03-2018,4141.00
03/08/2018,5391,38585,,14-03-2018,8400.00
03/08/2018,5391,72,,14-03-2018,11475.00
03/08/2018,5391,284781,,14-03-2018,12340.00
03/08/2018,5391,609322,,14-03-2018,13324.00
03/08/2018,5391,197929,,14-03-2018,15668.00
03/08/2018,5391,736669,,14-03-2018,19051.00
03/08/2018,5391,499664,,14-03-2018,26530.00
03/08/2018,5391,357822,,14-03-2018,44023.00
03/08/2018,5392,443847,,14-03-2018,5487.00
03/08/2018,5392,197928,,14-03-2018,5946.00
03/08/2018,5392,806983,,14-03-2018,6005.00
03/08/2018,5392,361724,,14-03-2018,6065.00
03/08/2018,5392,99047,,14-03-2018,7679.00
03/08/2018,5392,28955,,14-03-2018,11026.00
03/08/2018,5392,835731,,14-03-2018,14982.00
03/08/2018,5392,180113,,14-03-2018,24749.00
03/08/2018,5392,105889,,14-03-2018,26423.00
03/08/2018,5393,849204,,14-03-2018,1516.00
03/08/2018,5393,99048,,14-03-2018,2560.00
03/08/2018,5393,931391,,14-03-2018,4987.00
03/08/2018,5394,27,,14-03-2018,3428.00
03/08/2018,5395,135833,,14-03-2018,500.00
03/08/2018,5395,90045,,14-03-2018,803.00
03/08/2018,5395,409662,,14-03-2018,3468.00
03/08/2018,5395,17942,,14-03-2018,6511.00
03/08/2018,5395,8086,,14-03-2018,11902.00
03/08/2018,5395,190258,,14-03-2018,12457.00
03/08/2018,5395,857890,,14-03-2018,12717.00
03/08/2018,5395,24,,14-03-2018,13580.00
03/08/2018,5395,25,,14-03-2018,14152.00
03/08/2018,5395,714726,,14-03-2018,16672.00
03/08/2018,5395,377070,,14-03-2018,19216.00
03/08/2018,5395,409663,,14-03-2018,35578.00
03/08/2018,5395,7808,,14-03-2018,42754.00
03/08/2018,5396,714727,,14-03-2018,1244.00
03/08/2018,5396,40267,,14-03-2018,1571.00
03/08/2018,5396,4667,,14-03-2018,2545.00
03/08/2018,5396,914918,,14-03-2018,6035.00
03/08/2018,5396,7034,,14-03-2018,6125.00
03/08/2018,5396,38837,,14-03-2018,6664.00
03/08/2018,5396,27226,,14-03-2018,8019.00
03/08/2018,5396,17708,,14-03-2018,8439.00
03/08/2018,5396,42176,,14-03-2018,10375.00
03/08/2018,5396,291729,,14-03-2018,29764.00
03/08/2018,5396,357821,,14-03-2018,30501.00
03/08/2018,5396,659067,,14-03-2018,35431.00
03/08/2018,5396,12583,,14-03-2018,104019.00
03/08/2018,5397,61,,14-03-2018,1454.00
03/08/2018,5397,62,,14-03-2018,3109.00
03/08/2018,5397,357388,,14-03-2018,3300.00
03/08/2018,5397,901385,,14-03-2018,5974.00
03/08/2018,5397,872877,,14-03-2018,6215.00
03/08/2018,5397,872876,,14-03-2018,6371.00
03/08/2018,5397,104880,,14-03-2018,10757.00
03/08/2018,5397,259782,,14-03-2018,12625.00
03/08/2018,5397,5,,14-03-2018,13679.00
03/08/2018,5397,901386,,14-03-2018,14237.00
03/08/2018,5397,451817,,14-03-2018,18891.00
13/03/2018,5488,cash,,14-03-2018,2783806.00
03/09/2018,5417,105729,,15-03-2018,842.00
03/09/2018,5417,35285,,15-03-2018,1646.00
03/09/2018,5417,102419,,15-03-2018,2450.00
03/09/2018,5417,895576,,15-03-2018,15248.00
03/09/2018,5417,43887,,15-03-2018,21997.00
03/09/2018,5417,18922,,15-03-2018,26552.00
03/09/2018,5417,327703,,15-03-2018,27081.00
03/09/2018,5417,895575,,15-03-2018,39816.00
03/09/2018,5418,82303,,15-03-2018,3424.00
03/09/2018,5418,4847,,15-03-2018,5450.00
03/09/2018,5418,303764,,15-03-2018,5984.00
03/09/2018,5418,638300,,15-03-2018,6371.00
03/09/2018,5418,965155,,15-03-2018,6674.00
03/09/2018,5418,386310,,15-03-2018,7979.00
03/09/2018,5418,638299,,15-03-2018,13362.00
03/09/2018,5418,11,,15-03-2018,14070.00
03/09/2018,5418,5,,15-03-2018,20505.00
03/09/2018,5418,277381,,15-03-2018,21418.00
03/09/2018,5418,973255,,15-03-2018,24020.00
03/09/2018,5418,608385,,15-03-2018,48941.00
03/09/2018,5418,625788,,15-03-2018,509000.00
03/09/2018,5419,779081,,15-03-2018,459.00
03/09/2018,5419,185064,,15-03-2018,1605.00
03/09/2018,5419,28488,,15-03-2018,2024.00
03/09/2018,5419,28487,,15-03-2018,3277.00
03/09/2018,5419,536043,,15-03-2018,7322.00
03/09/2018,5419,533555,,15-03-2018,8806.00
03/09/2018,5419,29,,15-03-2018,16925.00
03/09/2018,5419,6215,,15-03-2018,36552.00
03/09/2018,5419,5247,,15-03-2018,55995.00
03/09/2018,5419,13535,,15-03-2018,57623.00
03/09/2018,5420,771543,,15-03-2018,2406.00
03/09/2018,5420,39609,,15-03-2018,5302.00
03/09/2018,5420,580292,,15-03-2018,6682.00
03/09/2018,5420,74196,,15-03-2018,7188.00
03/09/2018,5420,502646,,15-03-2018,9050.00
03/09/2018,5420,38608,,15-03-2018,10984.00
03/09/2018,5420,768166,,15-03-2018,19875.00
03/09/2018,5420,693011,,15-03-2018,21512.00
03/09/2018,5420,216326,,15-03-2018,24660.00
03/09/2018,5420,693012,,15-03-2018,28372.00
03/09/2018,5420,39608,,15-03-2018,31449.00
03/09/2018,5420,331557,,15-03-2018,41933.00
03/09/2018,5421,401409,,15-03-2018,1650.00
03/09/2018,5421,306805,,15-03-2018,6269.00
03/09/2018,5421,401410,,15-03-2018,9960.00
03/09/2018,5421,771541,,15-03-2018,12381.00
03/09/2018,5421,771542,,15-03-2018,13409.00
03/09/2018,5421,798684,,15-03-2018,18614.00
03/09/2018,5421,618879,,15-03-2018,19987.00
03/09/2018,5421,176966,,15-03-2018,31243.00
03/09/2018,5421,401412,,15-03-2018,42906.00
03/09/2018,5421,176967,,15-03-2018,46640.00
03/09/2018,5421,383647,,15-03-2018,53894.00
03/09/2018,5421,637,,15-03-2018,80374.00
03/09/2018,5422,857759,,15-03-2018,1377.00
03/09/2018,5422,474339,,15-03-2018,1431.00
03/09/2018,5422,775972,,15-03-2018,3200.00
03/09/2018,5422,899824,,15-03-2018,6500.00
03/09/2018,5422,58811,,15-03-2018,7049.00
03/09/2018,5422,65386,,15-03-2018,9187.00
03/09/2018,5422,806434,,15-03-2018,9800.00
03/09/2018,5422,806433,,15-03-2018,9810.00
03/09/2018,5422,44743,,15-03-2018,10487.00
03/09/2018,5422,845466,,15-03-2018,11592.00
03/09/2018,5422,833315,,15-03-2018,12900.00
03/09/2018,5422,846101,,15-03-2018,13117.00
03/09/2018,5422,863329,,15-03-2018,132022.00
03/09/2018,5423,44742,,15-03-2018,2256.00
03/09/2018,5423,58810,,15-03-2018,2267.00
03/09/2018,5423,83855,,15-03-2018,45087.00
03/10/2018,5440,883908,,15-03-2018,1779.00
03/10/2018,5440,8821,,15-03-2018,4910.00
03/10/2018,5440,355884,,15-03-2018,5509.00
03/10/2018,5440,502907,,15-03-2018,7000.00
03/10/2018,5440,340938,,15-03-2018,8629.00
03/10/2018,5440,10115,,15-03-2018,9706.00
03/10/2018,5440,495365,,15-03-2018,12010.00
03/10/2018,5440,672413,,15-03-2018,12010.00
03/10/2018,5440,478400,,15-03-2018,26404.00
03/12/2018,5447,593762,,15-03-2018,4325.00
03/12/2018,5447,495663,,15-03-2018,4804.00
03/12/2018,5447,159814,,15-03-2018,6460.00
03/12/2018,5447,58663,,15-03-2018,10147.00
03/12/2018,5447,860732,,15-03-2018,11744.00
03/12/2018,5447,744126,,15-03-2018,12010.00
03/12/2018,5449,1318,,15-03-2018,1686.00
03/12/2018,5449,295797,,15-03-2018,2258.00
03/12/2018,5449,53056,,15-03-2018,2749.00
03/12/2018,5449,602233,,15-03-2018,4661.00
03/12/2018,5449,8883,,15-03-2018,6850.00
03/12/2018,5449,1,,15-03-2018,6901.00
03/12/2018,5449,182345,,15-03-2018,7638.00
03/12/2018,5449,532841,,15-03-2018,8057.00
03/12/2018,5449,388601,,15-03-2018,8808.00
03/12/2018,5449,312,,15-03-2018,10927.00
03/12/2018,5449,127905,,15-03-2018,12867.00
03/12/2018,5449,532840,,15-03-2018,18094.00
03/12/2018,5449,636306,,15-03-2018,32783.00
03/12/2018,5450,335240,,15-03-2018,1684.00
03/12/2018,5450,5,,15-03-2018,3175.00
03/12/2018,5450,986862,,15-03-2018,3190.00
03/12/2018,5450,165122,,15-03-2018,4704.00
03/12/2018,5450,4,,15-03-2018,6326.00
03/12/2018,5450,62994,,15-03-2018,8500.00
03/12/2018,5450,108833,,15-03-2018,13584.00
03/12/2018,5450,75547,,15-03-2018,14715.00
03/12/2018,5450,159056,,15-03-2018,15165.00
03/12/2018,5450,948141,,15-03-2018,15365.00
03/12/2018,5450,622262,,15-03-2018,25908.00
03/12/2018,5450,188523,,15-03-2018,33041.00
03/12/2018,5450,8,,15-03-2018,38632.00
03/12/2018,5451,6,,15-03-2018,13215.00
03/12/2018,5451,52932,,15-03-2018,18163.00
03/12/2018,5451,31,,15-03-2018,25000.00
03/12/2018,5452,300198,,15-03-2018,719.00
03/12/2018,5452,58219,,15-03-2018,1638.00
03/12/2018,5452,11315,,15-03-2018,3002.00
03/12/2018,5452,735805,,15-03-2018,3268.00
03/12/2018,5452,7751,,15-03-2018,4341.00
03/12/2018,5452,698869,,15-03-2018,4608.00
03/12/2018,5452,140,,15-03-2018,5057.00
03/12/2018,5452,951674,,15-03-2018,6065.00
03/12/2018,5452,177690,,15-03-2018,12142.00
03/12/2018,5452,244523,,15-03-2018,16400.00
03/12/2018,5452,500941,,15-03-2018,18245.00
03/12/2018,5452,698870,,15-03-2018,19710.00
03/12/2018,5452,76489,,15-03-2018,23408.00
03/12/2018,5453,882,,15-03-2018,2650.00
03/12/2018,5453,711746,,15-03-2018,9036.00
03/12/2018,5453,43562,,15-03-2018,11710.00
03/12/2018,5453,781276,,15-03-2018,12007.00
03/12/2018,5453,881,,15-03-2018,12010.00
03/12/2018,5453,781273,,15-03-2018,12010.00
03/12/2018,5453,6311,,15-03-2018,13487.00
03/12/2018,5453,371040,,15-03-2018,18420.00
03/12/2018,5453,155474,,15-03-2018,18886.00
03/12/2018,5453,151979,,15-03-2018,23898.00
03/12/2018,5453,349527,,15-03-2018,24161.00
03/12/2018,5453,349362,,15-03-2018,33732.00
03/12/2018,5453,9324,,15-03-2018,54270.00
03/12/2018,5454,139039,,15-03-2018,2773.00
03/12/2018,5454,139037,,15-03-2018,3626.00
03/12/2018,5454,120366,,15-03-2018,6053.00
03/12/2018,5454,472270,,15-03-2018,7227.00
03/12/2018,5454,1677,,15-03-2018,9123.00
03/12/2018,5454,20898,,15-03-2018,10758.00
03/12/2018,5454,2716,,15-03-2018,21368.00
03/12/2018,5454,16839,,15-03-2018,27424.00
03/12/2018,5454,86747,,15-03-2018,30864.00
03/12/2018,5454,472271,,15-03-2018,32043.00
03/12/2018,5454,560476,,15-03-2018,32237.00
03/12/2018,5454,882060,,15-03-2018,38768.00
03/12/2018,5455,139034,,15-03-2018,3330.00
03/12/2018,5456,489716,,15-03-2018,1531.00
03/12/2018,5457,74918,,15-03-2018,2643.00
03/12/2018,5457,5222227,,15-03-2018,56015.00
03/12/2018,5459,182813,,15-03-2018,3634.00
03/12/2018,5459,269022,,15-03-2018,5176.00
03/12/2018,5459,659806,,15-03-2018,6126.00
03/12/2018,5459,8,,15-03-2018,6699.00
03/12/2018,5459,529472,,15-03-2018,6972.00
03/12/2018,5459,277194,,15-03-2018,9276.00
03/12/2018,5459,719969,,15-03-2018,15139.00
03/12/2018,5459,57182,,15-03-2018,20344.00
03/12/2018,5459,667153,,15-03-2018,24695.00
03/12/2018,5459,989652,,15-03-2018,29992.00
03/12/2018,5459,137183,,15-03-2018,41435.00
03/12/2018,5459,157423,,15-03-2018,43335.00
03/12/2018,5459,136683,,15-03-2018,48395.00
03/06/2018,5343,17447,,15-03-2018,3513.00
03/08/2018,5391,245701,,15-03-2018,3840.00
03/08/2018,5391,245702,,15-03-2018,5326.00
03/10/2018,5435,304527,,15-03-2018,6125.00
03/12/2018,5448,154642,,15-03-2018,6830.00
03/06/2018,5343,17448,,15-03-2018,12209.00
03/06/2018,5354,903398,,15-03-2018,12432.00
03/07/2018,5382,75612,,15-03-2018,14011.00
03/06/2018,5352,193663,,15-03-2018,16509.00
03/06/2018,5346,78457,,15-03-2018,24020.00
03/06/2018,5354,35937,,15-03-2018,26144.00
03/06/2018,5347,17449,,15-03-2018,26483.00
03/06/2018,5344,12206,,15-03-2018,33806.00
03/08/2018,5390,17546,,15-03-2018,60506.00
03/06/2018,5347,17450,,15-03-2018,66175.00
03/12/2018,5460,18,,15-03-2018,3192.00
03/12/2018,5460,23,,15-03-2018,2225.00
03/12/2018,5460,15103,,15-03-2018,6936.00
03/12/2018,5460,222172,,15-03-2018,6766.00
03/12/2018,5460,259305,,15-03-2018,5579.00
03/12/2018,5460,607323,,15-03-2018,419.00
03/10/2018,5436,11490,,15-03-2018,1631.00
03/10/2018,5436,273337,,15-03-2018,1991.00
03/10/2018,5436,541404,,15-03-2018,3977.00
03/10/2018,5436,411528,,15-03-2018,6005.00
03/10/2018,5436,43379,,15-03-2018,6140.00
03/10/2018,5436,439108,,15-03-2018,17200.00
03/10/2018,5436,777927,,15-03-2018,21262.00
03/10/2018,5436,593215,,15-03-2018,30025.00
03/10/2018,5436,136682,,15-03-2018,39772.00
03/10/2018,5436,136684,,15-03-2018,40141.00
03/10/2018,5436,751827,,15-03-2018,47335.00
03/10/2018,5436,751826,,15-03-2018,51939.00
03/10/2018,5436,802618,,15-03-2018,114845.00
03/10/2018,5437,207540,,15-03-2018,2491.00
03/10/2018,5437,5965,,15-03-2018,3002.00
03/10/2018,5437,933054,,15-03-2018,3205.00
03/10/2018,5437,217618,,15-03-2018,6480.00
03/10/2018,5437,184628,,15-03-2018,8088.00
03/10/2018,5437,386418,,15-03-2018,9501.00
03/10/2018,5437,411527,,15-03-2018,12010.00
03/10/2018,5437,907409,,15-03-2018,13474.00
03/10/2018,5437,907408,,15-03-2018,17202.00
03/10/2018,5437,454660,,15-03-2018,19500.00
03/10/2018,5437,5964,,15-03-2018,20903.00
03/10/2018,5437,291664,,15-03-2018,25445.00
03/10/2018,5437,5963,,15-03-2018,26998.00
03/10/2018,5438,881261,,15-03-2018,1463.00
03/10/2018,5438,20893,,15-03-2018,6618.00
03/10/2018,5438,881260,,15-03-2018,15000.00
